id,p28m1,p28m2,p28m3,p28m13,p28s1,p28s2,p28s3,p28s13,p17m1,p17m2,p17m3,p17m13,p17s1,p17s2,p17s3,p17s13
1001,4.004518651343033,2.9616728171667623,3.8046579241257987,3.590283130878531,124.140078191634,83.60034578876055,117.94439564789978,325.68481962829435,10.838805053112727,2.9748224093403093,6.1688471085602234,6.66082485700442,336.00295664649457,83.29502746152866,191.23426036536694,610.5322444733902
2001,6.540282163991703,3.852881192012627,4.526188109439863,4.973117155148064,202.74874708374278,108.78370661444829,140.31183139263572,451.8442850908268,16.975096428105907,4.069515567538994,7.248252274528626,9.430954756724509,526.2279892712831,113.94643589109182,224.69582051038742,864.8702456727624
3001,6.540282163991703,3.852881192012627,4.526188109439863,4.973117155148064,202.74874708374278,108.78370661444829,140.31183139263572,451.8442850908268,16.975096428105907,4.069515567538994,7.248252274528626,9.430954756724509,526.2279892712831,113.94643589109182,224.69582051038742,864.8702456727624
4001,4.004518651343033,2.9616728171667623,3.8046579241257987,3.590283130878531,124.140078191634,83.60034578876055,117.94439564789978,325.68481962829435,10.838805053112727,2.9748224093403093,6.1688471085602234,6.66082485700442,336.00295664649457,83.29502746152866,191.23426036536694,610.5322444733902
5001,4.004518651343033,2.9616728171667623,3.8046579241257987,3.590283130878531,124.140078191634,83.60034578876055,117.94439564789978,325.68481962829435,10.838805053112727,2.9748224093403093,6.1688471085602234,6.66082485700442,336.00295664649457,83.29502746152866,191.23426036536694,610.5322444733902
6001,4.004518651343033,2.9616728171667623,3.8046579241257987,3.590283130878531,124.140078191634,83.60034578876055,117.94439564789978,325.68481962829435,10.838805053112727,2.9748224093403093,6.1688471085602234,6.66082485700442,336.00295664649457,83.29502746152866,191.23426036536694,610.5322444733902
7001,1.2670892378805134,1.9667505188804082,2.4669510413570976,1.900263599372673,39.27976637429591,55.49755232067009,76.47548228207002,171.25280097703603,3.698352400814333,1.8802897287948457,3.9760620043586727,3.184901377989284,114.64892442524433,52.64811240625568,123.25792213511886,290.55495896661887
8001,1.2670892378805134,1.9667505188804082,2.4669510413570976,1.900263599372673,39.27976637429591,55.49755232067009,76.47548228207002,171.25280097703603,3.698352400814333,1.8802897287948457,3.9760620043586727,3.184901377989284,114.64892442524433,52.64811240625568,123.25792213511886,290.55495896661887
9001,1.2670892378805134,1.9667505188804082,2.4669510413570976,1.900263599372673,39.27976637429591,55.49755232067009,76.47548228207002,171.25280097703603,3.698352400814333,1.8802897287948457,3.9760620043586727,3.184901377989284,114.64892442524433,52.64811240625568,123.25792213511886,290.55495896661887
10001,1.2670892378805134,1.9667505188804082,2.4669510413570976,1.900263599372673,39.27976637429591,55.49755232067009,76.47548228207002,171.25280097703603,3.698352400814333,1.8802897287948457,3.9760620043586727,3.184901377989284,114.64892442524433,52.64811240625568,123.25792213511886,290.55495896661887
11001,1.2670892378805134,1.9667505188804082,2.4669510413570976,1.900263599372673,39.27976637429591,55.49755232067009,76.47548228207002,171.25280097703603,3.698352400814333,1.8802897287948457,3.9760620043586727,3.184901377989284,114.64892442524433,52.64811240625568,123.25792213511886,290.55495896661887
12001,1.2670892378805134,1.9667505188804082,2.4669510413570976,1.900263599372673,39.27976637429591,55.49755232067009,76.47548228207002,171.25280097703603,3.698352400814333,1.8802897287948457,3.9760620043586727,3.184901377989284,114.64892442524433,52.64811240625568,123.25792213511886,290.55495896661887
13001,1.2670892378805134,1.9667505188804082,2.4669510413570976,1.900263599372673,39.27976637429591,55.49755232067009,76.47548228207002,171.25280097703603,3.698352400814333,1.8802897287948457,3.9760620043586727,3.184901377989284,114.64892442524433,52.64811240625568,123.25792213511886,290.55495896661887
14001,1.2670892378805134,1.9667505188804082,2.4669510413570976,1.900263599372673,39.27976637429591,55.49755232067009,76.47548228207002,171.25280097703603,3.698352400814333,1.8802897287948457,3.9760620043586727,3.184901377989284,114.64892442524433,52.64811240625568,123.25792213511886,290.55495896661887
15001,1.2670892378805134,1.9667505188804082,2.4669510413570976,1.900263599372673,39.27976637429591,55.49755232067009,76.47548228207002,171.25280097703603,3.698352400814333,1.8802897287948457,3.9760620043586727,3.184901377989284,114.64892442524433,52.64811240625568,123.25792213511886,290.55495896661887
16001,1.2670892378805134,1.9667505188804082,2.4669510413570976,1.900263599372673,39.27976637429591,55.49755232067009,76.47548228207002,171.25280097703603,3.698352400814333,1.8802897287948457,3.9760620043586727,3.184901377989284,114.64892442524433,52.64811240625568,123.25792213511886,290.55495896661887
17001,1.842847076761547,2.401710284677879,3.5097653049074897,2.5847742221156387,57.12825937960796,67.79987012235713,108.80272445213215,233.73085395409726,5.88791425682364,2.1150348457906927,5.405370670220544,4.469439924278292,182.52534196153283,59.2209756821394,167.56649077683687,409.3128084205091
18001,1.842847076761547,2.401710284677879,3.5097653049074897,2.5847742221156387,57.12825937960796,67.79987012235713,108.80272445213215,233.73085395409726,5.88791425682364,2.1150348457906927,5.405370670220544,4.469439924278292,182.52534196153283,59.2209756821394,167.56649077683687,409.3128084205091
19001,1.842847076761547,2.401710284677879,3.5097653049074897,2.5847742221156387,57.12825937960796,67.79987012235713,108.80272445213215,233.73085395409726,5.88791425682364,2.1150348457906927,5.405370670220544,4.469439924278292,182.52534196153283,59.2209756821394,167.56649077683687,409.3128084205091
20001,1.842847076761547,2.401710284677879,3.5097653049074897,2.5847742221156387,57.12825937960796,67.79987012235713,108.80272445213215,233.73085395409726,5.88791425682364,2.1150348457906927,5.405370670220544,4.469439924278292,182.52534196153283,59.2209756821394,167.56649077683687,409.3128084205091
