;disaster_type;disaster_name;pcode;# of damaged houses;# of affected people;pcode_parent;# of affected people;# of damaged houses;land_area;# of hit distritos
;Flood;Total;010520;43;343;0105;1893;473.25;162.452100125043;1
;Flood;Total;060303;11;66;0603;8819;2204.75;252.109267520711;1
;Flood;Total;060408;0;0;0604;14030;3507.5;303.308766768317;2
;Flood;Total;220206;4616;23384;2202;65610;16402.5;942.969600422229;9
;Flood;Total;010401;71;371;0104;201082;50270.5;29262.0921220772;7
;Flood;Total;160404;2288;3698;1604;64276;16069;20335.746089832;4
;Flood;Total;210111;3;13;2101;10648;2662;3276.15076167774;2
;Flood;Total;200601;1;5;2006;176804;44201;486.252852523767;1
;Flood;Total;200501;4;19;2005;93147;23286.75;702.367319992637;1
;Flood;Total;051002;11;60;0510;7242;1810.5;340.782955402192;3
;Flood;Total;040501;3;3;0405;7688;1922;241.934551695112;1
;Flood;Total;081101;3;20;0811;26380;6595;2184.13699137066;2
;Flood;Total;010303;0;0;0103;269;67.25;32.0919511782817;1
;Flood;Total;200507;360;1800;2005;4761;1190.25;157.611636236592;1
;Flood;Total;030605;46;233;0306;58212;14553;1512.86029252879;7
;Flood;Total;151006;88;300;1510;384;96;209.838353585744;1
;Flood;Total;210401;556;1655;2104;128772;32193;4650.6326206504;6
;Flood;Total;060401;9;52;0604;97396;24349;531.248133012845;2
;Flood;Total;220602;1105;4601;2206;76420;19105;18061.3173396793;10
;Flood;Total;210113;437;2122;2101;7598;1899.5;675.809404452816;2
;Flood;Total;220914;24;156;2209;4467;1116.75;712.365546141421;3
;Flood;Total;061103;6;30;0611;4429;1107.25;339.402272728108;1
;Flood;Total;210601;147;430;2106;91265;22816.25;1954.71261377904;5
;Flood;Total;200107;0;0;2001;18639;4659.75;195.070972591474;1
;Flood;Total;150205;18;36;1502;46436;11609;63.3373739282417;4
;Flood;Total;150604;2;24;1506;19502;4875.5;704.856011666101;1
;Flood;Total;081204;0;0;0812;3129;782.25;302.856195764387;1
;Flood;Total;050901;12;60;0509;2733;683.25;281.771575373395;1
;Flood;Total;100904;494;3954;1009;41265;10316.25;14457.4208648822;9
;Flood;Total;220401;96;594;2204;45364;11341;2099.83835979961;4
;Flood;Total;050405;0;0;0504;9982;2495.5;281.3742285843;2
;Flood;Total;150135;0;4;1501;1400354;350088.5;74.0188222327013;2
;Flood;Total;151013;22;110;1510;188;47;54.2517200760288;1
;Flood;Total;081301;3;15;0813;20879;5219.75;160.825345740875;1
;Flood;Total;060611;0;0;0606;2936;734;129.464358132051;1
;Flood;Total;061307;25;104;0613;4492;1123;157.852357476342;1
;Flood;Total;120701;7;25;1207;46281;11570.25;446.724794934172;1
;Flood;Total;150901;37;10;1509;86874;21718.5;5243.56472320919;6
;Flood;Total;160202;3985;18339;1602;104616;26154;17432.9716677262;6
;Flood;Total;030214;49;250;0302;2057;514.25;84.8029568565254;1
;Flood;Total;220509;25;125;2205;3460;865;23.8449767612685;1
;Flood;Total;220913;21;104;2209;63360;15840;404.281880456947;4
;Flood;Total;020105;14;72;0201;441336;110334;2060.65457130514;6
;Flood;Total;160606;2038;7003;1606;44660;11165;9502.97017767092;5
;Flood;Total;010501;5;14;0105;2300;575;72.6693293040798;1
;Flood;Total;030215;1;7;0302;9910;2477.5;156.962218567939;1
;Flood;Total;120133;35;188;1201;51076;12769;495.776348758743;4
;Flood;Total;120206;59;217;1202;18774;4693.5;2852.72362986001;3
;Flood;Total;210210;299;1255;2102;28498;7124.5;409.631844262731;2
;Flood;Total;220807;296;1087;2208;13556;3389;275.603941821704;4
;Flood;Total;100109;1;5;1001;18248;4562;488.827651543365;1
;Flood;Total;200206;40;200;2002;24796;6199;968.657219046263;1
;Flood;Total;220204;259;917;2202;18018;4504.5;1543.20840204914;6
;Flood;Total;130104;0;0;1301;68104;17026;315.346681057404;1
;Flood;Total;120129;17;91;1201;23214;5803.5;51.8901671940689;2
;Flood;Total;150705;0;0;1507;7632;1908;234.769784178649;1
;Flood;Total;030401;1;5;0304;5015;1253.75;338.043780723461;1
;Flood;Total;050111;0;79;0501;3598;899.5;186.005075249586;2
;Flood;Total;160303;2417;10348;1603;25263;6315.75;60384.4760459398;3
;Flood;Total;160504;7129;32337;1605;37440;9360;23198.5477039886;5
;Flood;Total;220405;0;0;2204;10336;2584;648.640560154194;4
;Flood;Total;081305;69;515;0813;17382;4345.5;427.525752988951;3
;Flood;Total;150810;15;61;1508;167480;41870;672.519104910624;5
;Flood;Total;060811;13;51;0608;7192;1798;478.710436901679;1
;Flood;Total;090704;16;80;0907;5497;1374.25;100.447333121229;1
;Flood;Total;090105;32;128;0901;1974;493.5;54.0028252714005;1
;Flood;Total;130205;85;425;1302;51168;12792;160.246738765874;2
;Flood;Total;220906;2230;10522;2209;34996;8749;6202.25113408494;13
;Flood;Total;100501;4;19;1005;271062;67765.5;7406.84722410167;18
;Flood;Total;061002;0;0;0610;3337;834.25;68.3665694366777;1
;Flood;Total;110102;845;4225;1101;35641;8910.25;82.6151773443017;1
;Flood;Total;080801;3;17;0808;132968;33242;2954.32265862133;4
;Flood;Total;080101;2;5;0801;236632;59158;199.312899791209;2
;Flood;Total;151030;90;270;1510;1127;281.75;291.209672293349;1
;Flood;Total;110402;0;0;1104;1497;374.25;183.099856473376;1
;Flood;Total;200201;0;0;2002;38339;9584.75;1545.3916142896;1
;Flood;Total;010115;15;30;0101;589;147.25;122.034963194776;1
;Flood;Total;051001;0;0;0510;1934;483.5;238.633241336937;1
;Flood;Total;120604;17;85;1206;126858;31714.5;4263.85359390154;2
